10198	356	10985
11425	444	10488
12064	428	9966
11875	524	8525
11775	561	7221
11989	603	6951
11925	640	6886
13810	747	5026
12035	549	7333
10745	573	6164
12629	585	6169
14310	795	6673
12683	748	6440
11648	592	5282
11771	690	6139
14524	883	5776
12549	703	5950
11697	575	6374
10879	498	5427
11365	528	6619
12994	643	7260
11948	633	7648
13003	617	7651
13592	739	7650
13114	620	8365
12762	584	7361
11833	604	6302
12322	615	7930
12303	606	8057
13265	636	7188
13523	641	9122
12643	595	9355
12929	540	9233
14039	730	8172
13648	719	7808
13434	693	7222
12538	649	8088
12917	557	9062
12597	585	8512
13764	535	7471
12413	523	9323
12277	535	9377
12170	550	10258
12128	561	9631
12165	611	8944
12915	562	8074
14227	695	7106
12811	595	7807
12781	538	7710
12902	592	7880
