206	1	460
234	14	482
274	4	400
349	1	396
295	5	310
304	1	278
205	3	322
500	11	213
325	6	328
332	6	297
292	7	155
398	5	281
367	5	217
467	16	269
319	2	261
702	14	314
390	7	254
406	5	234
299	5	245
410	0	225
571	15	339
227	2	300
351	3	341
289	4	359
443	9	363
458	4	301
205	3	281
324	3	313
330	3	360
308	6	286
392	7	362
432	5	471
316	3	355
400	10	440
597	8	283
408	3	469
342	12	324
410	4	338
361	6	367
251	0	384
314	3	370
383	5	462
318	3	451
329	1	348
266	1	359
457	2	293
311	4	330
277	4	354
444	5	315
276	5	296
